epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3333.14,0.68376,0.44804,1.16514,0.95302,0.96698,0.98031,0.76765,0.80011,0.40953,1.41845,0.007162,0.007162,0.007162
45,3408.1,0.67024,0.44736,1.15202,0.96349,0.95991,0.97099,0.75011,0.83559,0.41534,1.42823,0.007096,0.007096,0.007096
46,3483.21,0.66976,0.43915,1.15211,0.9641,0.95019,0.97121,0.7455,0.81777,0.42125,1.40866,0.00703,0.00703,0.00703
47,3559.36,0.6617,0.44312,1.14676,0.95313,0.95926,0.98348,0.78651,0.76158,0.4009,1.36936,0.006964,0.006964,0.006964
48,3633.03,0.65394,0.43043,1.13864,0.97118,0.96462,0.98087,0.75148,0.82238,0.39135,1.43174,0.006898,0.006898,0.006898
49,3708.03,0.66603,0.44041,1.15276,0.9719,0.95991,0.98228,0.79423,0.75574,0.40225,1.3202,0.006832,0.006832,0.006832
50,3785.32,0.65247,0.43237,1.14353,0.97822,0.95047,0.98185,0.76086,0.80645,0.39749,1.40425,0.006766,0.006766,0.006766
51,3860.26,0.65843,0.43006,1.14601,0.97618,0.96655,0.98578,0.7543,0.82252,0.39768,1.4384,0.0067,0.0067,0.0067
52,3935.45,0.63544,0.41833,1.12909,0.98458,0.95519,0.98505,0.76819,0.78427,0.38157,1.39027,0.006634,0.006634,0.006634
53,4010.48,0.64095,0.42741,1.13658,0.95319,0.96061,0.97264,0.75291,0.81226,0.40442,1.4275,0.006568,0.006568,0.006568
54,4086.26,0.64416,0.4264,1.13865,0.97512,0.95991,0.98483,0.77713,0.74551,0.38623,1.33067,0.006502,0.006502,0.006502
55,4161.03,0.6415,0.42535,1.1313,0.99252,0.93854,0.97796,0.77058,0.75941,0.38429,1.37024,0.006436,0.006436,0.006436
56,4236.13,0.63373,0.41283,1.13375,0.95722,0.96462,0.97651,0.76912,0.7837,0.38938,1.3898,0.00637,0.00637,0.00637
57,4311.87,0.62983,0.41454,1.12731,0.97376,0.96275,0.97996,0.77468,0.73497,0.38383,1.34168,0.006304,0.006304,0.006304
58,4386.14,0.62932,0.41311,1.12851,0.97526,0.9717,0.9793,0.76595,0.79243,0.37899,1.3899,0.006238,0.006238,0.006238
59,4460.55,0.62376,0.4074,1.1289,0.96966,0.95519,0.97956,0.77186,0.76295,0.39038,1.38047,0.006172,0.006172,0.006172
60,4536.64,0.61126,0.40384,1.11946,0.97134,0.95908,0.98199,0.77708,0.75593,0.38638,1.36987,0.006106,0.006106,0.006106
61,4611.64,0.6242,0.41125,1.12587,0.96946,0.97339,0.98719,0.7635,0.77227,0.38643,1.37706,0.00604,0.00604,0.00604
62,4686.25,0.61431,0.39866,1.12017,0.96705,0.96934,0.98254,0.77945,0.74152,0.37612,1.37169,0.005974,0.005974,0.005974
63,4762.5,0.62324,0.4024,1.12324,0.96894,0.95653,0.97658,0.76638,0.77571,0.38276,1.39171,0.005908,0.005908,0.005908
64,4837.14,0.61731,0.40274,1.12052,0.97893,0.96226,0.98379,0.7815,0.74629,0.37488,1.35375,0.005842,0.005842,0.005842
65,4911.83,0.60796,0.39973,1.11405,0.97568,0.94621,0.97863,0.78155,0.75029,0.3757,1.37725,0.005776,0.005776,0.005776
66,4986.96,0.60589,0.3955,1.12186,0.97079,0.96698,0.98237,0.78169,0.75704,0.37573,1.40687,0.00571,0.00571,0.00571
67,5063.28,0.60092,0.40293,1.11111,0.97389,0.96764,0.97949,0.78351,0.74257,0.36295,1.34389,0.005644,0.005644,0.005644
68,5138.36,0.60198,0.39365,1.1127,0.9768,0.95755,0.98238,0.77401,0.75357,0.39434,1.35739,0.005578,0.005578,0.005578
69,5213.36,0.59803,0.3919,1.10953,0.97618,0.96652,0.98338,0.78838,0.74321,0.36645,1.34946,0.005512,0.005512,0.005512
70,5289.07,0.59743,0.3979,1.1081,0.97372,0.96117,0.9819,0.77198,0.74905,0.38656,1.37591,0.005446,0.005446,0.005446
71,5363.44,0.60036,0.39308,1.10904,0.98233,0.96226,0.97886,0.79179,0.72511,0.364,1.33211,0.00538,0.00538,0.00538
72,5438.03,0.59086,0.39111,1.10303,0.97727,0.95283,0.97905,0.77091,0.76089,0.36815,1.40483,0.005314,0.005314,0.005314
73,5513.63,0.59229,0.3917,1.1065,0.96927,0.96706,0.97702,0.77595,0.73691,0.38134,1.37203,0.005248,0.005248,0.005248
74,5589.07,0.58388,0.3837,1.09936,0.97016,0.9717,0.98531,0.78721,0.74697,0.37566,1.3644,0.005182,0.005182,0.005182
